Title,ISBN,Author,Published Year,Publisher,Status,
Poison Study,978-0000000805,Maria V. Snyder,2005,Amazon Digital Services- Inc.,Available,
Lover Unbound,978-0000000806,J.R. Ward,2007,Amazon Digital Services- Inc.,Available,
Going Postal,978-0000000807,Terry Pratchett,2004,Penguin Group (USA) LLC,Available,
The Book of Mormon,978-0000000808,Anonymous- Joseph Smith Jr.,1830,Random House LLC,Available,
The Mist,978-0000000809,Stephen King,1980,Amazon Digital Services- Inc.,Reserved,
Dead Beat,978-0000000810,Jim Butcher,2005,Amazon Digital Services- Inc.,Borrowed,
Golden Son,978-0000000811,Pierce Brown,2015,Amazon Digital Services- Inc.,Reserved,
Night Watch,978-0000000812,Terry Pratchett,2002,Amazon Digital Services- Inc.,Available,
The Light Fantastic,978-0000000813,Terry Pratchett,1986,Amazon Digital Services- Inc.,Available,
What the Dog Saw and Other Adventures,978-0000000814,Malcolm Gladwell,2009,Random House LLC,Available,
Pretty Girls,978-0000000815,Karin Slaughter,2015,Amazon Digital Services- Inc.,Available,
Last Argument of Kings,978-0000000816,Joe Abercrombie,2008,Macmillan,Reserved,
Revival,978-0000000817,Stephen King,2014,Amazon Digital Services- Inc.,Available,
Horton Hears a Who!,978-0000000818,Dr. Seuss,1954,Amazon Digital Services- Inc.,Borrowed,
The Blind Side: Evolution of a Game,978-0000000819,Michael Lewis,2006,HarperCollins Publishers,Available,
Lirael,978-0000000820,Garth Nix,2001,Penguin Group (USA) LLC,Reserved,
School's Out Forever,978-0000000821,James Patterson,2006,Amazon Digital Services- Inc.,Borrowed,
é»’åŸ·äº‹ I [Kuroshitsuji I],978-0000000822,Yana Toboso- Tomo Kimura,2007,Penguin Group (USA) LLC,Available,
Winter,978-0000000823,Marissa Meyer,2015,Amazon Digital Services- Inc.,Available,
The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror,978-0000000824,Robert Louis Stevenson- Robert Mighall,1886,Random House LLC,Borrowed,
,978-0000000825,Emily Seife,2012,Amazon Digital Services- Inc.,Borrowed,
The Painted Man,978-0000000826,Peter V. Brett,2008,Amazon Digital Services- Inc.,Available,
,978-0000000827,John Bunyan,1678,Penguin Group (USA) LLC,Available,
One Shot,978-0000000828,Lee Child,2005,Simon and Schuster Digital Sales Inc,Borrowed,
The Serpent's Shadow,978-0000000829,Rick Riordan,2012,Amazon Digital Services- Inc.,Borrowed,
Duma Key,978-0000000830,Stephen King,2008,Macmillan,Available,
The Shifting Fog,978-0000000831,Kate Morton,2006,Amazon Digital Services- Inc.,Available,
,978-0000000832,Robert Jordan,2000,Amazon Digital Services- Inc.,Available,
Proven Guilty,978-0000000833,Jim Butcher,2006,Simon and Schuster Digital Sales Inc,Available,
Ð—Ð°Ð¿Ð¸ÑÐºÐ¸ Ð¸Ð· Ð¿Ð¾Ð´Ð¿Ð¾Ð»ÑŒÑ,978-0000000834,Fyodor Dostoyevsky- Andrew R. MacAndrew- Ben Marcus,1864,Random House LLC,Borrowed,
The Heart is a Lonely Hunter,978-0000000835,Carson McCullers,1940,Amazon Digital Services- Inc.,Available,
The Infinite Sea,978-0000000836,Rick Yancey,2014,Amazon Digital Services- Inc.,Available,
The Once and Future King,978-0000000837,T.H. White,1958,Macmillan,Available,
Small Gods,978-0000000838,Terry Pratchett,1992,HarperCollins Publishers,Available,
Bud- Not Buddy,978-0000000839,Christopher Paul Curtis,1999,Amazon Digital Services- Inc.,Available,
,978-0000000840,Alison Bechdel,2006,Hachette Book Group,Available,
Predictably Irrational: The Hidden Forces that Shape Our Decisions,978-0000000841,Dan Ariely,2007,Amazon Digital Services- Inc.,Available,
Ø§Ù„ÙÙŠÙ„ Ø§Ù„Ø£Ø²Ø±Ù‚,978-0000000842,Ø£Ø­Ù…Ø¯ Ù…Ø±Ø§Ø¯,2012,Amazon Digital Services- Inc.,Borrowed,
The Indian in the Cupboard,978-0000000843,Lynne Reid Banks,1980,Amazon Digital Services- Inc.,Available,
A Memory of Light,978-0000000844,Robert Jordan- Brandon Sanderson,2012,Amazon Digital Services- Inc.,Available,
Me and Earl and the Dying Girl,978-0000000845,Jesse Andrews,2012,Random House LLC,Available,
The Ugly Truth,978-0000000846,Jeff Kinney,2010,Amazon Digital Services- Inc.,Available,
Janet Evanovich Three and Four Two-Book Set (Stephanie Plum- #3-4),978-0000000847,Janet Evanovich,2002,HarperCollins Publishers,Available,
The Surgeon of Crowthorne: a tale of murder- madness & the love of words,978-0000000848,Simon Winchester,1998,Simon and Schuster Digital Sales Inc,Available,
2nd Chance,978-0000000849,James Patterson- Andrew Gross,2002,HarperCollins Publishers,Available,
The Complete Maus,978-0000000850,Art Spiegelman,1986,Amazon Digital Services- Inc.,Available,
The Eyre Affair,978-0000000851,Jasper Fforde,2001,Amazon Digital Services- Inc.,Available,
Anne Rice's The Vampire Lestat: The Graphic Novel,978-0000000852,Faye Perozich- Anne Rice- John Bolton- Daerick GrÃ¶ss,1989,Amazon Digital Services- Inc.,Available,
,978-0000000853,Louis Sachar- Adam McCauley,1978,Penguin Group (USA) LLC,Borrowed,
The Art of Happiness: A Handbook for Living,978-0000000854,Dalai Lama XIV- Howard C. Cutler,1998,Random House LLC,Available,
The Bone Clocks,978-0000000855,David Mitchell,2014,Random House LLC,Available,
Black and Blue,978-0000000856,Anna Quindlen,1998,Amazon Digital Services- Inc.,Available,
,978-0000000857,L.J. Smith- Kevin Williamson- Julie Plec,2010,Amazon Digital Services- Inc.,Available,
The Last Juror,978-0000000858,John Grisham,2004,Penguin Group (USA) LLC,Available,
Diary,978-0000000859,Chuck Palahniuk,2003,Hachette Book Group,Borrowed,
Eleven on Top,978-0000000860,Janet Evanovich,2005,Penguin Group (USA) LLC,Available,
Tintenblut,978-0000000861,Cornelia Funke- Anthea Bell,2005,Amazon Digital Services- Inc.,Available,
Sex- Drugs- and Cocoa Puffs: A Low Culture Manifesto,978-0000000862,Chuck Klosterman,2003,Amazon Digital Services- Inc.,Reserved,
Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder,978-0000000863,Evelyn Waugh,1945,Amazon Digital Services- Inc.,Available,
White Night,978-0000000864,Jim Butcher,2007,Amazon Digital Services- Inc.,Available,
The Miniaturist,978-0000000865,Jessie Burton,2014,HarperCollins Publishers,Available,
Dragons of Autumn Twilight,978-0000000866,Margaret Weis- Tracy Hickman,1984,Simon and Schuster Digital Sales Inc,Available,
The Lost Colony,978-0000000867,Eoin Colfer,2006,Amazon Digital Services- Inc.,Available,
Extras,978-0000000868,Scott Westerfeld,2006,Amazon Digital Services- Inc.,Borrowed,
The Burning Bridge,978-0000000869,John Flanagan,2005,Macmillan,Available,
The Book of Life,978-0000000870,Deborah Harkness,2014,Amazon Digital Services- Inc.,Available,
The Artist's Way: A Spiritual Path to Higher Creativity,978-0000000871,Julia Cameron,1992,Amazon Digital Services- Inc.,Available,
The Stinky Cheese Man and Other Fairly Stupid Tales,978-0000000872,Jon Scieszka- Lane Smith,1992,Amazon Digital Services- Inc.,Available,
Horns,978-0000000873,Joe Hill,2009,Hachette Book Group,Available,
Catherine the Great: Portrait of a Woman,978-0000000874,Robert K. Massie,2011,Amazon Digital Services- Inc.,Borrowed,
The Year of the Flood,978-0000000875,Margaret Atwood,2009,Simon and Schuster Digital Sales Inc,Available,
Winter Garden,978-0000000876,Kristin Hannah,2009,Amazon Digital Services- Inc.,Available,
The King of Torts,978-0000000877,John Grisham,2003,HarperCollins Publishers,Available,
Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,978-0000000878,Marcus Luttrell- Patrick Robinson,2006,Amazon Digital Services- Inc.,Borrowed,
The 3 Mistakes of My Life,978-0000000879,Chetan Bhagat,2008,Random House LLC,Available,
The Murder of Roger Ackroyd,978-0000000880,Agatha Christie,1926,Amazon Digital Services- Inc.,Available,
Native Son,978-0000000881,Richard Wright,1940,Amazon Digital Services- Inc.,Reserved,
Shadow's Edge,978-0000000882,Brent Weeks,2008,Random House LLC,Available,
Under the Never Sky,978-0000000883,Veronica Rossi,2011,Amazon Digital Services- Inc.,Available,
True Believer,978-0000000884,Nicholas Sparks,2003,Amazon Digital Services- Inc.,Borrowed,
The Lean Startupâ€Ž,978-0000000885,Eric Ries,2011,Amazon Digital Services- Inc.,Borrowed,
The Golden Lily,978-0000000886,Richelle Mead,2012,Penguin Group (USA) LLC,Available,
Chasing Harry Winston,978-0000000887,Lauren Weisberger,2008,Random House LLC,Available,
Magician's Gambit,978-0000000888,David Eddings,1983,Amazon Digital Services- Inc.,Reserved,
,978-0000000889,Roberto Aguirre-Sacasa- Stephen King- Mike Perkins- Laura Martin,2009,Penguin Group (USA) LLC,Available,
The Rise and Fall of the Third Reich: A History of Nazi Germany,978-0000000890,William L. Shirer,1960,HarperCollins Publishers,Borrowed,
A Long Way Down,978-0000000891,Nick Hornby,2005,Hachette Book Group,Borrowed,
Out from Boneville,978-0000000892,Jeff Smith- Steve Hamaker,1993,Amazon Digital Services- Inc.,Available,
Rose Madder,978-0000000893,Stephen King,1995,Simon and Schuster Digital Sales Inc,Available,
Die Trying (Jack Reacher- #2),978-0000000894,Lee Child,1998,Macmillan,Borrowed,
Beautiful Chaos,978-0000000895,Kami Garcia- Margaret Stohl- Paz Pruneda,2011,Hachette Book Group,Available,
Keeping Faith,978-0000000896,Jodi Picoult,1999,Amazon Digital Services- Inc.,Available,
Heart-Shaped Box,978-0000000897,Joe Hill,2007,Amazon Digital Services- Inc.,Borrowed,
Cabin Fever,978-0000000898,Jeff Kinney,2010,Penguin Group (USA) LLC,Available,
,978-0000000899,Brent Weeks,2008,Amazon Digital Services- Inc.,Available,
Everyone Worth Knowing,978-0000000900,Lauren Weisberger,2005,Amazon Digital Services- Inc.,Available,
Redwall,978-0000000901,Brian Jacques,1986,Amazon Digital Services- Inc.,Available,
Manifest der Kommunistischen Partei,978-0000000902,Karl Marx- Friedrich Engels- Gareth Stedman Jones,1848,Amazon Digital Services- Inc.,Available,
The Woman in Cabin 10,978-0000000903,Ruth Ware,2016,Amazon Digital Services- Inc.,Borrowed,
The Last of the Mohicans: A Narrative of 1757,978-0000000904,James Fenimore Cooper,1826,Amazon Digital Services- Inc.,Borrowed,
Sophie's Choice,978-0000000905,William Styron,1979,Amazon Digital Services- Inc.,Available,
Shopaholic and Sister,978-0000000906,Sophie Kinsella,2004,Amazon Digital Services- Inc.,Available,
The Iron Daughter,978-0000000907,Julie Kagawa,2010,Amazon Digital Services- Inc.,Available,
The Prayer of Jabez: Breaking Through to the Blessed Life,978-0000000908,Bruce H. Wilkinson,2000,Amazon Digital Services- Inc.,Available,
The Age of Miracles,978-0000000909,Karen Thompson Walker,2012,Random House LLC,Available,
Have a Little Faith: A True Story,978-0000000910,Mitch Albom,2009,Hachette Book Group,Available,
My Life in France,978-0000000911,Julia Child- Alex Prud'Homme,2006,Penguin Group (USA) LLC,Available,
The Rosie Effect,978-0000000912,Graeme Simsion,2014,Macmillan,Available,
The Secret of the Nagas.,978-0000000913,Amish Tripathi,2011,Amazon Digital Services- Inc.,Available,
Ham on Rye,978-0000000914,Charles Bukowski,1982,Amazon Digital Services- Inc.,Borrowed,
Flipped,978-0000000915,Wendelin Van Draanen,2001,Amazon Digital Services- Inc.,Borrowed,
Emotional Intelligence 2.0,978-0000000916,Travis Bradberry- Jean Greaves- Patrick Lencioni,2003,Amazon Digital Services- Inc.,Borrowed,
Make Way for Ducklings,978-0000000917,Robert McCloskey,1941,HarperCollins Publishers,Available,
Relic,978-0000000918,Douglas Preston- Lincoln Child,1995,Hachette Book Group,Borrowed,
Notes from a Small Island,978-0000000919,Bill Bryson,1995,Amazon Digital Services- Inc.,Available,
Small Favor,978-0000000920,Jim Butcher,2008,Random House LLC,Available,
The Walking Dead Compendium Volume 1,978-0000000921,Robert Kirkman,2009,Amazon Digital Services- Inc.,Available,
Princess Academy,978-0000000922,Shannon Hale,2005,Simon and Schuster Digital Sales Inc,Available,
Everything- Everything,978-0000000923,Nicola Yoon- David Yoon,2015,Amazon Digital Services- Inc.,Borrowed,
Pygmalion,978-0000000924,George Bernard Shaw,1912,Amazon Digital Services- Inc.,Available,
Flight Behavior,978-0000000925,Barbara Kingsolver,2012,Amazon Digital Services- Inc.,Available,
Grip of the Shadow Plague,978-0000000926,Brandon Mull,2008,Amazon Digital Services- Inc.,Borrowed,
Bridget Jones: The Edge of Reason,978-0000000927,Helen Fielding,1999,Amazon Digital Services- Inc.,Available,
Captain Corelli's Mandolin,978-0000000928,Louis de BerniÃ¨res,1994,Amazon Digital Services- Inc.,Available,
At First Sight,978-0000000929,Nicholas Sparks,2004,Amazon Digital Services- Inc.,Available,
Down Under,978-0000000930,Bill Bryson,2000,Amazon Digital Services- Inc.,Available,
The Memoirs of Sherlock Holmes,978-0000000931,Arthur Conan Doyle,1894,HarperCollins Publishers,Available,
The Orphan Master's Son,978-0000000932,Adam Johnson,2012,Macmillan,Available,
Enchanters' End Game,978-0000000933,David Eddings,1984,Amazon Digital Services- Inc.,Borrowed,
Persepolis,978-0000000934,Marjane Satrapi- Mattias Ripa- Blake Ferris- Anjali Singh,2003,Amazon Digital Services- Inc.,Available,
The Chosen,978-0000000935,Chaim Potok,1967,Amazon Digital Services- Inc.,Available,
The Agony and the Ecstasy: A Biographical Novel of Michelangelo,978-0000000936,Irving Stone- ×©×ž×•××œ ×©× ×™×¦×¨,1958,Amazon Digital Services- Inc.,Available,
El juego del Ã¡ngel,978-0000000937,Carlos Ruiz ZafÃ³n- Lucia Graves,2008,HarperCollins Publishers,Borrowed,
Where Rainbows End,978-0000000938,Cecelia Ahern,2004,Random House LLC,Available,
Amelia Bedelia,978-0000000939,Peggy Parish- Fritz Siebel,1963,Penguin Group (USA) LLC,Available,
This Man,978-0000000940,Jodi Ellen Malpas,2012,Amazon Digital Services- Inc.,Available,
A Dog's Purpose,978-0000000941,W. Bruce Cameron,2010,Amazon Digital Services- Inc.,Available,
An Ember in the Ashes,978-0000000942,Sabaa Tahir,2015,HarperCollins Publishers,Available,
Lover Enshrined- part one,978-0000000943,J.R. Ward,2008,Random House LLC,Available,
The Golem and the Jinni,978-0000000944,Helene Wecker,2013,Amazon Digital Services- Inc.,Borrowed,
Ø§Ù„Ø£Ø³ÙˆØ¯ ÙŠÙ„ÙŠÙ‚ Ø¨Ùƒ,978-0000000945,Ø£Ø­Ù„Ø§Ù… Ù…Ø³ØªØºØ§Ù†Ù…ÙŠ- Ahlam Mosteghanemi,2012,Simon and Schuster Digital Sales Inc,Available,
The Slippery Slope,978-0000000946,Lemony Snicket- Brett Helquist,2003,Penguin Group (USA) LLC,Available,
Bleak House,978-0000000947,Charles Dickens- Nicola Bradbury- Hablot Knight Browne,1853,HarperCollins Publishers,Available,
Caps for sale: a tale of a peddler- some monkeys and their monkey business,978-0000000948,Esphyr Slobodkina,1938,Amazon Digital Services- Inc.,Borrowed,
Furies of Calderon,978-0000000949,Jim Butcher,2004,Amazon Digital Services- Inc.,Available,
Alanna: The First Adventure,978-0000000950,Tamora Pierce,1983,Penguin Group (USA) LLC,Reserved,
Her Fearful Symmetry,978-0000000951,Audrey Niffenegger,2009,HarperCollins Publishers,Available,
The Boston Girl,978-0000000952,Anita Diamant,2014,Amazon Digital Services- Inc.,Available,
Lover Enshrined- part two,978-0000000953,J.R. Ward,2009,Macmillan,Available,
The Fall of Hyperion,978-0000000954,Dan Simmons,1990,Simon and Schuster Digital Sales Inc,Available,
The Black Dahlia,978-0000000955,James Ellroy,1987,Random House LLC,Available,
Through the Looking-Glass- and What Alice Found There,978-0000000956,Lewis Carroll- John Tenniel- Peter Glassman,1871,Simon and Schuster Digital Sales Inc,Available,
Wild Swans: Three Daughters of China,978-0000000957,Jung Chang,1991,HarperCollins Christian Publishing,Available,
Go- Dog. Go!,978-0000000958,P.D. Eastman,1961,Penguin Group (USA) LLC,Available,
,978-0000000959,Laura Ingalls Wilder- Garth Williams,1937,HarperCollins Publishers,Available,
Finders Keepers,978-0000000960,Stephen King,2015,Amazon Digital Services- Inc.,Available,
The Strain,978-0000000961,Guillermo del Toro- Chuck Hogan,2009,Amazon Digital Services- Inc.,Available,
The Complete Poems of Emily Dickinson,978-0000000962,Emily Dickinson- Thomas H. Johnson,1890,Amazon Digital Services- Inc.,Borrowed,
Old Yeller,978-0000000963,Fred Gipson,1956,Macmillan,Borrowed,
Born Standing Up: A Comic's Life,978-0000000964,Steve Martin,2007,Amazon Digital Services- Inc.,Available,
PostSecret: Extraordinary Confessions from Ordinary Lives,978-0000000965,Frank Warren,2005,Amazon Digital Services- Inc.,Available,
A Storm of Swords: Part 2 Blood and Gold,978-0000000966,George R.R. Martin,2000,Amazon Digital Services- Inc.,Available,
The Borrowers Afield,978-0000000967,Mary Norton- Beth Krush- Joe Krush,1952,Hachette Book Group,Borrowed,
Hearts in Atlantis,978-0000000968,Stephen King,1999,Macmillan,Available,
,978-0000000969,Jodi Picoult,2016,Penguin Group (USA) LLC,Available,
ç¾Šã‚’ã‚ãã‚‹å†’é™º [HitsujiwomegurubÅken],978-0000000970,Haruki Murakami- Alfred Birnbaum,1982,Simon and Schuster Digital Sales Inc,Available,
The Queen's Fool,978-0000000971,Philippa Gregory,2003,Simon and Schuster Digital Sales Inc,Borrowed,
Days of Blood & Starlight,978-0000000972,Laini Taylor,2012,Amazon Digital Services- Inc.,Borrowed,
Jitterbug Perfume,978-0000000973,Tom Robbins,1984,Amazon Digital Services- Inc.,Available,
The Battle for Skandia (Ranger's Apprentice- #4),978-0000000974,John Flanagan,2006,Amazon Digital Services- Inc.,Available,
The Darkest Minds,978-0000000975,Alexandra Bracken,2012,Hachette Book Group,Available,
O Zahir,978-0000000976,Paulo Coelho- Margaret Jull Costa,2005,Amazon Digital Services- Inc.,Available,
The Power of Positive Thinking,978-0000000977,Norman Vincent Peale,1952,Amazon Digital Services- Inc.,Borrowed,
In a Dark- Dark Wood,978-0000000978,Ruth Ware,2015,Amazon Digital Services- Inc.,Available,
The House of Mirth,978-0000000979,Edith Wharton- Nina Bawden,1905,Amazon Digital Services- Inc.,Borrowed,
Fairy Tail 1,978-0000000980,Hiro Mashima- William Flanagan,2006,Amazon Digital Services- Inc.,Available,
The Slow Regard of Silent Things,978-0000000981,Patrick Rothfuss- Nate Taylor,2014,Amazon Digital Services- Inc.,Available,
Twelve Years a Slave,978-0000000982,Solomon Northup,1853,Random House LLC,Available,
Lover Avenged- part one,978-0000000983,J.R. Ward,2010,Amazon Digital Services- Inc.,Borrowed,
In the Heart of the Sea: The Tragedy of the Whaleship Essex,978-0000000984,Nathaniel Philbrick,1999,Amazon Digital Services- Inc.,Available,
Infidel,978-0000000985,Ayaan Hirsi Ali,2006,Amazon Digital Services- Inc.,Available,
The Black Swan: The Impact of the Highly Improbable,978-0000000986,Nassim Nicholas Taleb,2007,Amazon Digital Services- Inc.,Available,
The Twelve,978-0000000987,Justin Cronin,2012,Amazon Digital Services- Inc.,Available,
ÐžÐ´Ð¸Ð½ Ð´ÐµÐ½ÑŒ Ð˜Ð²Ð°Ð½Ð° Ð”ÐµÐ½Ð¸ÑÐ¾Ð²Ð¸Ñ‡Ð°,978-0000000988,Aleksandr Solzhenitsyn- H.T. Willetts,1962,Hachette Book Group,Available,
The Diamond Age,978-0000000989,Neal Stephenson,1995,Macmillan,Available,
A Canticle for Leibowitz,978-0000000990,Walter M. Miller Jr.,1959,Amazon Digital Services- Inc.,Available,
á¼ˆÎ½Ï„Î¹Î³ÏŒÎ½Î·,978-0000000991,Sophocles- J.E. Thomas,441,Amazon Digital Services- Inc.,Available,
Brooklyn,978-0000000992,Colm TÃ³ibÃ­n,2009,Amazon Digital Services- Inc.,Reserved,
Wither,978-0000000993,Lauren DeStefano,2011,Amazon Digital Services- Inc.,Borrowed,
Hillbilly Elegy. A Memoir of a Family and Culture in Crisis,978-0000000994,J.D. Vance,2016,Amazon Digital Services- Inc.,Borrowed,
Crossroads of Twilight,978-0000000995,Robert Jordan,2003,Amazon Digital Services- Inc.,Available,
The Red Badge of Courage,978-0000000996,Stephen Crane,1871,Penguin Group (USA) LLC,Available,
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,978-0000000997,Randall Munroe,2014,Penguin Group (USA) LLC,Borrowed,
Gardens of the Moon,978-0000000998,Steven Erikson,1999,Amazon Digital Services- Inc.,Reserved,
A Bruxa de Portobello,978-0000000999,Paulo Coelho,2006,HarperCollins Publishers,Available,
A Swiftly Tilting Planet,978-0000001000,Madeleine L'Engle,1978,Amazon Digital Services- Inc.,Borrowed,
Gregor the Overlander,978-0000001001,Suzanne Collins,2003,Amazon Digital Services- Inc.,Available,
Sing You Home,978-0000001002,Jodi Picoult,2011,Amazon Digital Services- Inc.,Borrowed,
The Tale of the Body Thief,978-0000001003,Anne Rice,1992,HarperCollins Publishers,Borrowed,
The Camel Club,978-0000001004,David Baldacci,2005,Amazon Digital Services- Inc.,Available,
Saving The World and Other Extreme Sports,978-0000001005,James Patterson,2006,Hachette Book Group,Available,
Blood of the Fold,978-0000001006,Terry Goodkind,1996,Amazon Digital Services- Inc.,Available,
The Boleyn Inheritance,978-0000001007,Philippa Gregory,2006,Hachette Book Group,Available,
A Spool of Blue Thread,978-0000001008,Anne Tyler,2015,Penguin Group (USA) LLC,Available,
The Underground Railroad,978-0000001009,Colson Whitehead,2016,Amazon Digital Services- Inc.,Available,
Masquerade,978-0000001010,Melissa de la Cruz,2007,Amazon Digital Services- Inc.,Available,
The Iron Queen,978-0000001011,Julie Kagawa,2011,Amazon Digital Services- Inc.,Available,
Losing It,978-0000001012,Cora Carmack,2012,HarperCollins Publishers,Available,
The Racketeer,978-0000001013,John Grisham,2012,Amazon Digital Services- Inc.,Available,
Disgrace,978-0000001014,J.M. Coetzee,1999,Random House LLC,Available,
The House at Pooh Corner,978-0000001015,A.A. Milne- Ernest H. Shepard,1928,Amazon Digital Services- Inc.,Available,
The Black Prism,978-0000001016,Brent Weeks,2010,Amazon Digital Services- Inc.,Available,
The Mermaid Chair,978-0000001017,Sue Monk Kidd,2004,Amazon Digital Services- Inc.,Borrowed,
Frog and Toad Are Friends,978-0000001018,Arnold Lobel,1970,HarperCollins Publishers,Available,
The Carnivorous Carnival,978-0000001019,Lemony Snicket- Brett Helquist,2002,Amazon Digital Services- Inc.,Borrowed,
Heist Society,978-0000001020,Ally Carter,2010,Random House LLC,Available,
Behind Closed Doors,978-0000001021,B.A. Paris,2016,Penguin Group (USA) LLC,Available,
The Killer Angels,978-0000001022,Michael Shaara,1974,Amazon Digital Services- Inc.,Available,
Circus of the Damned (Anita Blake- Vampire Hunter- #3),978-0000001023,Laurell K. Hamilton,1995,Penguin Group (USA) LLC,Available,
Ptolemy's Gate,978-0000001024,Jonathan Stroud,2006,HarperCollins Publishers,Borrowed,
The Island of Dr. Moreau,978-0000001025,H.G. Wells,1896,Amazon Digital Services- Inc.,Available,
Opal,978-0000001026,Jennifer L. Armentrout,2012,Amazon Digital Services- Inc.,Borrowed,
Zeitoun,978-0000001027,Dave Eggers,2008,Amazon Digital Services- Inc.,Reserved,
Out of My Mind,978-0000001028,Sharon M. Draper,2010,Amazon Digital Services- Inc.,Available,
Rapture,978-0000001029,Lauren Kate,2012,Random House LLC,Available,
Switched,978-0000001030,Amanda Hocking,2010,Macmillan,Available,
Ð”Ð¾ÐºÑ‚Ð¾Ñ€ Ð–Ð¸Ð²Ð°Ð³Ð¾,978-0000001031,Boris Pasternak- Max Hayward- Manya Harari- John Bayley,1957,HarperCollins Publishers,Available,
,978-0000001032,Colleen Hoover,2015,Amazon Digital Services- Inc.,Available,
Pines,978-0000001033,Blake Crouch,2012,Amazon Digital Services- Inc.,Available,
Disclosure,978-0000001034,Michael Crichton,1994,Random House LLC,Available,
Death Comes to Pemberley,978-0000001035,P.D. James,2012,Amazon Digital Services- Inc.,Available,
Ethan Frome,978-0000001036,Edith Wharton,1911,HarperCollins Publishers,Available,
A Map of the World,978-0000001037,Jane Hamilton- Frank Muller- C.J. Critt,1992,Amazon Digital Services- Inc.,Available,
It Ends with Us,978-0000001038,Colleen Hoover,2016,Penguin Group (USA) LLC,Available,
The Gift of the Magi,978-0000001039,O. Henry- Lisbeth Zwerger,1905,Simon and Schuster Digital Sales Inc,Available,
The Electric Kool-Aid Acid Test,978-0000001040,Tom Wolfe,1968,Amazon Digital Services- Inc.,Borrowed,
The Naked Lunch,978-0000001041,William S. Burroughs- James Grauerholz- Barry Miles,1959,Amazon Digital Services- Inc.,Available,
The Sandman: Dream Country,978-0000001042,Neil Gaiman- Kelley Jones- Charles Vess- Colleen Doran- Malcolm Jones III- Steve Erickson,1991,Amazon Digital Services- Inc.,Available,
A Painted House,978-0000001043,John Grisham,2001,Amazon Digital Services- Inc.,Available,
The Left Hand of Darkness,978-0000001044,Ursula K. Le Guin- Lech JÄ™czmyk,1969,Random House LLC,Available,
Let It Snow: Three Holiday Romances,978-0000001045,John Green- Maureen Johnson- Lauren Myracle,2008,Penguin Group (USA) LLC,Available,
Full Dark- No Stars,978-0000001046,Stephen King,2010,Random House LLC,Available,
Being Mortal: Medicine and What Matters in the End,978-0000001047,Atul Gawande,2014,Amazon Digital Services- Inc.,Available,
Intensity,978-0000001048,Dean Koontz,1987,Amazon Digital Services- Inc.,Available,
Chelsea Chelsea Bang Bang,978-0000001049,Chelsea Handler,2010,Amazon Digital Services- Inc.,Borrowed,
Et dukkehjem,978-0000001050,Henrik Ibsen- Michael Meyer,1879,Hachette Book Group,Available,
Hawaii,978-0000001051,James A. Michener,1959,Amazon Digital Services- Inc.,Available,
Revolutionary Road,978-0000001052,Richard Yates,1961,Penguin Group (USA) LLC,Available,
Nick & Norah's Infinite Playlist,978-0000001053,Rachel Cohn- David Levithan,2006,Random House LLC,Available,
Rosencrantz and Guildenstern are Dead,978-0000001054,Tom Stoppard- Henry Popkin,1966,Random House LLC,Available,
Forever,978-0000001055,Maggie Stiefvater,2011,Penguin Group (USA) LLC,Reserved,
The Beach,978-0000001056,Alex Garland,1996,Hachette Book Group,Available,
Saving CeeCee Honeycutt,978-0000001057,Beth Hoffman- Jenna Lamia,2010,Amazon Digital Services- Inc.,Available,
Deadlocked,978-0000001058,Charlaine Harris,2012,Amazon Digital Services- Inc.,Available,
Everything's Eventual: 14 Dark Tales,978-0000001059,Stephen King,2002,Amazon Digital Services- Inc.,Available,
Beezus and Ramona,978-0000001060,Beverly Cleary,1955,Random House LLC,Available,
The Farthest Shore,978-0000001061,Ursula K. Le Guin,1972,maAmazon Digital Services- Inc.,Available,
Airframe,978-0000001062,Michael Crichton,1996,Amazon Digital Services- Inc.,Borrowed,
Magician,978-0000001063,Raymond E. Feist,1982,Random House LLC,Available,
Bet Me,978-0000001064,Jennifer Crusie,2004,Random House LLC,Available,
Long Walk to Freedom: The Autobiography of Nelson Mandela,978-0000001065,Nelson Mandela,1994,Amazon Digital Services- Inc.,Borrowed,
Gray Mountain,978-0000001066,John Grisham,2014,Amazon Digital Services- Inc.,Available,
The Power of One,978-0000001067,Bryce Courtenay,1989,Random House LLC,Reserved,
The Maltese Falcon,978-0000001068,Dashiell Hammett,1930,Hachette Book Group,Available,
Night Road,978-0000001069,Kristin Hannah,2011,Amazon Digital Services- Inc.,Borrowed,
BGM,978-0000001070,,,,Available,

